episode,episode_reward,success,cumulative_reward,moving_average_reward,epsilon,episode_length
1.0,-1.17,0.0,-1.17,-1.17,0.9995,14.0
2.0,-1.5700000000000003,0.0,-2.74,-1.37,0.9990002500000001,30.0
3.0,-3.639999999999992,0.0,-6.379999999999992,-2.126666666666664,0.9985007498750001,133.0
4.0,-1.7000000000000002,0.0,-8.079999999999991,-2.019999999999998,0.9980014995000627,31.0
5.0,-1.25,0.0,-9.329999999999991,-1.8659999999999983,0.9975024987503127,22.0
6.0,-1.6900000000000004,0.0,-11.019999999999992,-1.8366666666666653,0.9970037475009376,42.0
7.0,-2.0000000000000004,0.0,-13.019999999999992,-1.859999999999999,0.9965052456271871,45.0
8.0,-1.6900000000000004,0.0,-14.709999999999994,-1.8387499999999992,0.9960069930043736,54.0
9.0,-1.08,0.0,-15.789999999999994,-1.7544444444444438,0.9955089895078715,9.0
10.0,-1.19,0.0,-16.979999999999993,-1.6979999999999993,0.9950112350131176,8.0
11.0,-1.23,0.0,-18.209999999999994,-1.6554545454545448,0.9945137293956111,12.0
12.0,-2.1000000000000005,0.0,-20.309999999999995,-1.6924999999999997,0.9940164725309134,59.0
13.0,-1.06,0.0,-21.369999999999994,-1.6438461538461533,0.993519464294648,7.0
14.0,-2.2400000000000007,0.0,-23.609999999999996,-1.6864285714285712,0.9930227045625007,53.0
15.0,-1.2600000000000002,0.0,-24.869999999999997,-1.658,0.9925261932102195,19.0
16.0,-2.3500000000000005,0.0,-27.22,-1.70125,0.9920299301136144,72.0
17.0,-1.6800000000000002,0.0,-28.9,-1.7,0.9915339151485576,37.0
18.0,-1.34,0.0,-30.24,-1.68,0.9910381481909833,19.0
19.0,-1.1199999999999999,0.0,-31.36,-1.6505263157894736,0.990542629116888,9.0
20.0,-1.2400000000000002,0.0,-32.6,-1.6300000000000001,0.9900473578023296,17.0
21.0,-1.34,0.0,-33.940000000000005,-1.6161904761904764,0.9895523341234285,19.0
22.0,-1.34,0.0,-35.28000000000001,-1.603636363636364,0.9890575579563669,19.0
23.0,-1.7300000000000002,0.0,-37.010000000000005,-1.609130434782609,0.9885630291773887,38.0
24.0,-2.0600000000000005,0.0,-39.07000000000001,-1.627916666666667,0.9880687476628001,63.0
25.0,-1.4700000000000002,0.0,-40.540000000000006,-1.6216000000000002,0.9875747132889687,28.0
26.0,-1.08,0.0,-41.620000000000005,-1.600769230769231,0.9870809259323243,9.0
27.0,-2.0700000000000003,0.0,-43.690000000000005,-1.6181481481481483,0.9865873854693582,44.0
28.0,-2.5600000000000014,0.0,-46.25000000000001,-1.6517857142857146,0.9860940917766235,85.0
29.0,-1.1,0.0,-47.35000000000001,-1.6327586206896554,0.9856010447307353,11.0
30.0,-1.7200000000000002,0.0,-49.07000000000001,-1.6356666666666668,0.98510824420837,33.0
31.0,-1.06,0.0,-50.13000000000001,-1.6170967741935487,0.9846156900862658,7.0
32.0,-1.5900000000000003,0.0,-51.72000000000001,-1.6162500000000004,0.9841233822412228,44.0
33.0,-1.06,0.0,-52.780000000000015,-1.5993939393939398,0.9836313205501022,7.0
34.0,-2.5500000000000007,0.0,-55.33000000000001,-1.627352941176471,0.9831395048898272,72.0
35.0,-1.7600000000000002,0.0,-57.09000000000001,-1.6311428571428574,0.9826479351373822,25.0
36.0,-1.31,0.0,-58.40000000000001,-1.6222222222222227,0.9821566111698136,12.0
